banking_id,banked_total,banking_total,banking_date,reconcile_status,restaurant_id,sealed_by,banking_time_indicator
29,1504.57,3059.97,2024-01-29,pending,1,Alicia Hernandez,evening
30,153.95,3372.1,2024-01-30,reconciled,1,Sarah Lynn,evening
31,1451.54,4833.19,2024-01-31,reconciled,1,Nancy Jackson MD,evening
32,24.81,6186.079999999998,2024-02-01,reconciled,1,Jody Gomez,evening
33,6412.14,8286.899999999998,2024-02-02,pending,1,Shannon Maxwell,morning
34,5756.3,5880.379999999997,2024-02-03,pending,1,Andrew Gill,evening
35,538.14,3891.4999999999973,2024-02-04,reconciled,1,Anthony Newman,morning
36,263.61,5831.909999999996,2024-02-05,reconciled,1,Jessica Berry,evening
37,7038.12,7212.189999999996,2024-02-06,pending,1,Cassandra Hernandez,evening
38,840.29,3286.4399999999964,2024-02-07,pending,1,Bryan Morris Jr.,evening
39,834.85,5558.449999999997,2024-02-08,pending,1,Cameron Crawford,evening
40,713.2,7595.739999999996,2024-02-09,reconciled,1,Mason Nelson,evening
41,1163.06,9930.039999999995,2024-02-10,pending,1,Richard Nelson,morning
42,9734.32,11403.329999999994,2024-02-11,pending,1,Micheal Wheeler,evening
43,3597.44,3843.1999999999944,2024-02-12,reconciled,1,Francis Stewart,morning
44,1136.07,2603.3199999999947,2024-02-13,pending,1,Sarah Smith,morning
45,1484.55,3875.7799999999947,2024-02-14,pending,1,Kevin Taylor,evening
46,1129.82,4089.5899999999947,2024-02-15,pending,1,Jasmine Vaughn,morning
47,3635.73,5479.719999999996,2024-02-16,pending,1,Leslie Green,morning
48,2323.02,3951.1599999999953,2024-02-17,pending,1,Ashley Hoffman,morning
49,380.83,4018.7099999999955,2024-02-18,pending,1,Donna Thomas,morning
50,6493.88,6807.389999999996,2024-02-19,pending,1,Jacqueline Clark,morning
51,3350.98,4089.0799999999963,2024-02-20,pending,1,Kristina Brown,evening
52,2462.16,3551.7299999999964,2024-02-21,pending,1,Robin Skinner,evening
53,2120.91,2938.2799999999957,2024-02-22,pending,1,Stephen Williams,morning
54,159.55,3147.1499999999965,2024-02-23,pending,1,David Long,morning
55,270.86,6349.299999999996,2024-02-24,reconciled,1,Stephanie York,morning
56,967.06,9873.139999999996,2024-02-25,reconciled,1,David Rodriguez,evening
57,4864.24,11679.579999999996,2024-02-26,pending,1,Amanda Cooper,morning
58,1424.8,10023.939999999995,2024-02-27,pending,1,Patricia Anderson,evening
59,903.36,10456.739999999994,2024-02-28,pending,1,Isaac Mcneil,morning
60,309.39,12674.179999999993,2024-02-29,pending,1,Stephanie Lee,evening
61,14924.98,16160.31999999999,2024-03-01,pending,1,Michelle Jones,evening
62,325.81,4329.719999999991,2024-03-02,reconciled,1,Courtney Howard,evening
63,590.38,7122.869999999992,2024-03-03,reconciled,1,Douglas Jones,evening
64,7755.34,9922.729999999992,2024-03-04,reconciled,1,Cathy Hardy,morning
65,3973.34,4440.979999999992,2024-03-05,pending,1,Mr. Joseph Gonzalez,morning
66,1444.51,2807.6199999999917,2024-03-06,reconciled,1,Kayla Jordan,morning
67,36.95,4781.739999999991,2024-03-07,reconciled,1,Carolyn Sharp,evening
68,2114.71,6200.539999999991,2024-03-08,reconciled,1,Annette Sanchez,morning
69,4398.89,7281.83999999999,2024-03-09,pending,1,Mark James,morning
70,1662.41,6631.559999999991,2024-03-10,reconciled,1,Robert Herrera,morning
71,1326.51,8399.369999999992,2024-03-11,pending,1,Kyle Gonzalez DVM,morning
72,7718.88,9601.729999999992,2024-03-12,pending,1,Justin Cook,evening
73,1731.48,4672.169999999992,2024-03-13,reconciled,1,Anthony Edwards,morning
74,1881.93,5886.849999999991,2024-03-14,reconciled,1,Stephanie Clark,evening
75,107.51,6998.649999999991,2024-03-15,reconciled,1,Claire Mahoney,evening
76,4963.4,9084.179999999993,2024-03-16,reconciled,1,Denise Calderon,morning
77,6614.65,7354.849999999994,2024-03-17,reconciled,1,Jeremy Andersen,evening
78,2887.63,4503.369999999994,2024-03-18,reconciled,1,Kelsey Norton,evening
79,446.8,4153.689999999994,2024-03-19,pending,1,Thomas Pham,morning
80,6203.78,6595.899999999994,2024-03-20,reconciled,1,Frank Thomas,morning
81,642.67,3354.259999999995,2024-03-21,reconciled,1,Jennifer Cox,evening
82,265.94,4762.129999999996,2024-03-22,pending,1,Larry Silva,evening
83,1304.17,6338.709999999997,2024-03-23,reconciled,1,Anita Ramirez,evening
84,8553.4,8851.469999999996,2024-03-24,reconciled,1,Elizabeth Brown,morning
85,3363.03,3402.799999999995,2024-03-25,reconciled,1,Kristie Hanson,morning
86,564.56,3400.1599999999953,2024-03-26,pending,1,Cynthia Perez,morning
87,865.99,6191.159999999995,2024-03-27,reconciled,1,Mark Bass,morning
88,2568.69,8970.019999999997,2024-03-28,reconciled,1,Michael Thompson,evening
89,8128.07,10057.629999999996,2024-03-29,reconciled,1,Jennifer Harrison,morning
90,1162.84,5089.049999999996,2024-03-30,reconciled,1,David Watson,evening
91,5112.1,6988.279999999994,2024-03-31,pending,1,Jonathan Smith,morning
92,1075.99,4606.919999999994,2024-04-01,pending,1,Donald Bolton,evening
93,3364.41,5468.179999999993,2024-04-02,pending,1,Destiny Brown,evening
94,782.53,4701.109999999993,2024-04-03,reconciled,1,Gabrielle Glover,morning
95,4537.32,5848.369999999993,2024-04-04,pending,1,Timothy Harvey,morning
96,3964.24,3966.9599999999923,2024-04-05,reconciled,1,Kristina Travis,morning
97,1404.18,2069.889999999993,2024-04-06,reconciled,1,Joshua Gonzalez,morning
98,1770.68,3266.2499999999927,2024-04-07,reconciled,1,Nathaniel Young,morning
99,77.83,4629.669999999992,2024-04-08,reconciled,1,Drew Dorsey,evening
100,1559.21,7345.299999999992,2024-04-09,pending,1,Kevin Smith,morning
101,9077.09,9097.269999999991,2024-04-10,pending,1,Vincent Alvarado,evening
102,316.8,2258.4699999999916,2024-04-11,reconciled,1,Joseph Taylor,morning
103,3720.27,5611.1099999999915,2024-04-12,reconciled,1,Kevin Rowe,evening
104,343.93,5105.759999999991,2024-04-13,pending,1,Summer Gutierrez,morning
105,4963.33,5977.379999999992,2024-04-14,reconciled,1,Kevin Stanley,morning
106,4664.79,5195.379999999993,2024-04-15,pending,1,Eric Young,morning
107,1710.58,2491.169999999993,2024-04-16,pending,1,Jeffrey Hernandez,evening
108,1823.18,4567.439999999993,2024-04-17,pending,1,Kendra Williams,morning
109,1233.93,6200.5299999999925,2024-04-18,pending,1,Vincent Griffin,evening
110,6918.38,7384.2299999999905,2024-04-19,pending,1,Michael Johnston,morning
111,2886.51,3498.1799999999907,2024-04-20,pending,1,Sara Cardenas,morning
112,1515.26,4127.17999999999,2024-04-21,pending,1,Rodney Coleman MD,morning
113,4682.78,5248.46999999999,2024-04-22,reconciled,1,Christine Cortez,morning
114,2602.65,4369.82999999999,2024-04-23,pending,1,Matthew Miller,morning
115,2383.21,5870.76999999999,2024-04-24,pending,1,William Chambers,morning
116,123.69,6997.479999999989,2024-04-25,pending,1,Michelle Luna,evening
117,5094.17,10678.17999999999,2024-04-26,reconciled,1,Breanna Lamb,evening
118,4481.01,6979.709999999989,2024-04-27,reconciled,1,Mr. James Rodriguez,morning
119,1707.69,5563.8899999999885,2024-04-28,pending,1,Vicki Townsend,evening
120,5457.08,6624.129999999989,2024-04-29,reconciled,1,Jeffrey Dougherty,evening
121,774.41,3206.439999999989,2024-04-30,pending,1,Tina Koch,evening
122,4322.82,5791.749999999989,2024-05-01,pending,1,John Lopez,evening
123,4128.28,4172.969999999989,2024-05-02,reconciled,1,Kathryn Ponce,evening
124,2961.49,3968.49999999999,2024-05-03,reconciled,1,Nicholas Thornton,evening
125,2265.12,3534.87999999999,2024-05-04,reconciled,1,Christian Gardner,morning
126,18.84,3285.5099999999907,2024-05-05,pending,1,Angela Boyd,morning
127,2535.39,4760.51999999999,2024-05-06,reconciled,1,Wendy Olson MD,evening
128,2087.97,5341.179999999991,2024-05-07,reconciled,1,Michael Hansen,morning
129,4597.05,5510.209999999991,2024-05-08,reconciled,1,Michael Thompson,evening
130,2505.91,3836.9999999999914,2024-05-09,reconciled,1,David Robles,evening
131,4643.54,4903.349999999991,2024-05-10,reconciled,1,Michael Conner,evening
132,1570.15,2507.619999999991,2024-05-11,pending,1,Jennifer Hatfield,evening
133,406.65,4274.34999999999,2024-05-12,reconciled,1,Mrs. Alyssa Huerta MD,morning
134,3379.8,7613.409999999991,2024-05-13,reconciled,1,Richard Shea,evening
135,3305.37,6368.999999999989,2024-05-14,pending,1,Charles Mejia,morning
136,3169.19,5446.649999999989,2024-05-15,pending,1,Amber Ramos,morning
137,72.29,4701.319999999989,2024-05-16,pending,1,Julie Sosa,morning
138,3403.19,8486.859999999988,2024-05-17,pending,1,Kathleen Ibarra,morning
139,4021.56,8729.289999999988,2024-05-18,reconciled,1,Matthew Thompson,evening
140,4464.13,6391.439999999989,2024-05-19,pending,1,Jesse Cardenas,morning
141,998.12,3862.3199999999883,2024-05-20,pending,1,Catherine Scott,morning
142,2901.9,4990.069999999989,2024-05-21,pending,1,Ryan White,morning
143,4870.21,5001.149999999988,2024-05-22,reconciled,1,Donna Davis,evening
144,638.63,1672.8199999999877,2024-05-23,pending,1,Brittany Guzman,evening
145,821.8,4274.429999999988,2024-05-24,reconciled,1,Amy Miller,evening
146,3948.73,5446.699999999987,2024-05-25,reconciled,1,Brittany Mckinney,evening
147,904.82,3629.689999999988,2024-05-26,pending,1,Janet Webb,evening
148,4272.32,5913.389999999987,2024-05-27,reconciled,1,Keith Meyer,evening
149,1860.2,5543.339999999987,2024-05-28,reconciled,1,Autumn Mccoy,evening
150,4462.57,6353.339999999986,2024-05-29,pending,1,Elizabeth Chung,morning
151,607.35,3269.689999999986,2024-05-30,reconciled,1,Mr. Connor Golden,morning
152,3268.71,5296.889999999986,2024-05-31,reconciled,1,Joseph Gutierrez,morning
153,2600.71,4029.0299999999856,2024-06-01,reconciled,1,Marie Winters,evening
154,1864.65,3019.209999999985,2024-06-02,pending,1,Heather White,morning
155,659.37,4229.029999999985,2024-06-03,reconciled,1,Jacob Howell,morning
156,3452.93,5554.899999999984,2024-06-04,reconciled,1,Diane Turner,morning
157,1264.45,4421.109999999984,2024-06-05,pending,1,Brenda Alvarado,evening
158,4928.92,6367.309999999986,2024-06-06,pending,1,Alan Bailey,morning
159,2282.62,4391.509999999986,2024-06-07,reconciled,1,Ryan Green,morning
160,4339.5,4426.519999999985,2024-06-08,pending,1,Amanda Cruz,evening
161,3252.88,4096.969999999986,2024-06-09,reconciled,1,Mary Nichols,morning
162,1278.33,1873.2599999999854,2024-06-10,reconciled,1,Lindsey White,evening
163,1152.64,1356.8299999999854,2024-06-11,reconciled,1,Carl Ward,evening
164,465.91,3208.759999999986,2024-06-12,pending,1,Barbara Good,evening
165,5148.95,5968.659999999986,2024-06-13,reconciled,1,Karen White,evening
166,2374.53,3722.579999999986,2024-06-14,reconciled,1,Kathleen Campbell,morning
167,678.08,4554.429999999985,2024-06-15,pending,1,Gabriela Flores,morning
168,1857.07,7448.369999999985,2024-06-16,pending,1,Thomas Smith,evening
169,2366.42,8213.139999999987,2024-06-17,reconciled,1,Larry Miller,morning
170,2392.29,9189.219999999987,2024-06-18,reconciled,1,Shelly Robinson,evening
171,4071.9,9334.899999999987,2024-06-19,pending,1,Heather Jones,morning
172,4229.51,7666.979999999987,2024-06-20,reconciled,1,Katherine Watts,morning
173,4910.66,5817.559999999987,2024-06-21,pending,1,Larry Brown,morning
174,4551.38,5037.529999999987,2024-06-22,reconciled,1,Jose Roberson,morning
175,1086.64,3982.1199999999867,2024-06-23,reconciled,1,Joseph Smith,morning
176,3555.43,5871.399999999987,2024-06-24,reconciled,1,Patrick Stewart,morning
177,492.24,4565.2599999999875,2024-06-25,pending,1,Chris Campbell,evening
178,5421.01,7602.019999999988,2024-06-26,pending,1,Garrett Schmidt,morning
179,2529.63,4539.899999999987,2024-06-27,pending,1,Audrey Yu,evening
180,785.65,3241.7199999999875,2024-06-28,reconciled,1,Jeffrey Reid,morning
181,2639.44,5153.199999999986,2024-06-29,pending,1,Connie Romero,evening
182,2487.23,4385.879999999986,2024-06-30,pending,1,Thomas Smith,morning
183,4752.48,5086.099999999986,2024-07-01,pending,1,Michael Tucker,morning
184,602.4,3263.749999999986,2024-07-02,reconciled,1,Angela Hancock,evening
185,1782.26,6444.8799999999865,2024-07-03,pending,1,Miss Michelle Griffin,morning
186,6067.85,6928.179999999986,2024-07-04,pending,1,Shane Hanson,morning
187,2661.5,3759.8899999999853,2024-07-05,pending,1,Christina Schultz,morning
188,3031.79,5910.059999999985,2024-07-06,reconciled,1,Pamela Spencer,evening
189,538.36,5480.029999999986,2024-07-07,reconciled,1,Nicole Smith,evening
190,1243.65,8254.579999999985,2024-07-08,pending,1,Rebecca Archer,morning
191,3525.58,9476.159999999985,2024-07-09,pending,1,Donald Mathis,morning
192,4221.41,10622.509999999984,2024-07-10,pending,1,Meghan Johnson,evening
193,6711.67,10825.979999999985,2024-07-11,reconciled,1,Bill Sutton,evening
194,465.63,7681.949999999986,2024-07-12,reconciled,1,Heather Gray,evening
195,8451.12,9653.639999999987,2024-07-13,pending,1,Samantha Evans,evening
196,2968.14,3452.849999999986,2024-07-14,reconciled,1,Bradley Ball,evening
197,3283.38,3737.569999999985,2024-07-15,reconciled,1,David Hodges,evening
198,2922.1,4384.739999999985,2024-07-16,pending,1,Erik Massey,morning
199,3108.25,5265.409999999987,2024-07-17,pending,1,Shannon Kane,evening
200,3832.72,4300.989999999987,2024-07-18,reconciled,1,Dominic Casey,evening
201,3371.92,4604.839999999988,2024-07-19,reconciled,1,Karen Ford,morning
202,1002.91,4896.619999999988,2024-07-20,reconciled,1,Heather Henderson,evening
203,2720.59,5232.959999999988,2024-07-21,reconciled,1,Terry Miller,evening
204,5112.43,6092.369999999986,2024-07-22,pending,1,Amy Mejia,evening
205,833.89,3488.6699999999864,2024-07-23,reconciled,1,Brenda Olson,morning
206,4704.72,5770.059999999986,2024-07-24,pending,1,Paul Jenkins,evening
207,1626.27,3485.219999999985,2024-07-25,pending,1,Steven Morales,morning
208,2426.83,4640.909999999985,2024-07-26,pending,1,Emily Malone,evening
209,1171.53,4821.139999999985,2024-07-27,pending,1,Michael Bryant,evening
210,4848.34,6991.619999999985,2024-07-28,pending,1,Steven Hernandez,morning
211,3796.31,3801.1599999999853,2024-07-29,pending,1,Stephanie Ford,evening
212,774.34,3226.959999999986,2024-07-30,pending,1,James Gibson,evening
213,2600.91,4356.589999999986,2024-07-31,reconciled,1,Kerry Morse,evening
214,2944.5,5510.239999999985,2024-08-01,pending,1,Dr. Amy Kim,morning
215,3594.1,5155.639999999985,2024-08-02,pending,1,Nathaniel Gill,evening
216,1896.28,5329.809999999984,2024-08-03,pending,1,Brittany Mercer,evening
217,4213.38,6378.349999999985,2024-08-04,reconciled,1,Jason Peterson,evening
218,2124.25,4852.589999999985,2024-08-05,pending,1,Nicholas Thomas,morning
219,2962.78,4462.419999999984,2024-08-06,reconciled,1,Rodney Lozano,evening
220,1189.19,3697.1399999999844,2024-08-07,reconciled,1,Michael Wright,evening
221,1219.03,6206.989999999984,2024-08-08,reconciled,1,Jessica Martinez,evening
222,305.82,8971.139999999985,2024-08-09,pending,1,Cheryl Griffin,morning
223,8223.11,11780.329999999985,2024-08-10,reconciled,1,Teresa Edwards,morning
224,5437.51,6036.049999999986,2024-08-11,pending,1,Fred Rodgers,morning
225,2755.01,3226.5399999999854,2024-08-12,reconciled,1,Joshua Scott,evening
226,907.38,3390.2799999999856,2024-08-13,reconciled,1,Stephen Carlson,evening
227,584.36,5260.549999999986,2024-08-14,reconciled,1,Charles Hill,evening
228,5034.74,7052.169999999987,2024-08-15,reconciled,1,Donna Kerr,morning
229,4237.57,4766.949999999987,2024-08-16,pending,1,Emily Howell,morning
230,304.97,4027.169999999988,2024-08-17,pending,1,Mr. Jesse White,evening
231,4954.52,7094.579999999987,2024-08-18,reconciled,1,Heather Brown,evening
232,878.44,3902.549999999987,2024-08-19,reconciled,1,Mary Mendoza,evening
233,935.57,5898.889999999986,2024-08-20,pending,1,Joseph Mahoney,evening
234,5450.99,9284.309999999985,2024-08-21,pending,1,Laura Huffman,evening
235,4275.15,6808.339999999985,2024-08-22,pending,1,Joan Evans,evening
236,1297.97,5306.479999999986,2024-08-23,reconciled,1,Kelsey Wright,morning
237,6550.67,6615.689999999987,2024-08-24,reconciled,1,Jade Elliott,evening
238,1634.5,3142.0799999999863,2024-08-25,pending,1,Mark Frederick,evening
239,2872.34,3908.3699999999867,2024-08-26,pending,1,Jeffrey Martinez,evening
240,796.54,5140.249999999987,2024-08-27,pending,1,Cynthia Sweeney,morning
241,77.36,7862.559999999988,2024-08-28,pending,1,Tyler Terry,morning
242,4756.45,10398.309999999989,2024-08-29,pending,1,Chad Rivers,evening
243,8189.39,8548.099999999988,2024-08-30,pending,1,Shawn Baker,evening
244,1094.72,3480.2299999999873,2024-08-31,pending,1,Paul Miller,morning
245,275.53,5850.319999999988,2024-09-01,pending,1,Ethan Hardin,morning
246,3923.55,8910.329999999989,2024-09-02,reconciled,1,Jonathan Davis,evening
247,2044.19,8770.969999999988,2024-09-03,pending,1,Mrs. Lynn Baker,morning
248,10241.56,10573.28999999999,2024-09-04,reconciled,1,Paula Garcia,evening
249,4044.95,4451.83999999999,2024-09-05,reconciled,1,Joshua Steele,evening
250,3369.2,4627.59999999999,2024-09-06,reconciled,1,Desiree Bauer DDS,morning
251,3223.27,4643.279999999992,2024-09-07,reconciled,1,Shawn Frazier,morning
252,4213.31,4302.849999999992,2024-09-08,reconciled,1,Kelly Lamb,evening
253,527.85,2898.649999999992,2024-09-09,reconciled,1,Justin Coleman,evening
254,708.53,4355.439999999992,2024-09-10,pending,1,Paula Scott,evening
255,1943.93,5046.929999999993,2024-09-11,pending,1,Frank Richards,evening
256,5487.22,6613.2799999999925,2024-09-12,reconciled,1,Nancy Evans,morning
257,2830.87,4049.7999999999925,2024-09-13,pending,1,Hailey Shelton,morning
258,289.59,3441.739999999993,2024-09-14,reconciled,1,Elizabeth Gonzalez,morning
259,4023.69,6120.589999999992,2024-09-15,reconciled,1,Samantha Richardson,morning
260,29.12,4825.489999999992,2024-09-16,pending,1,Amanda Sanders,evening
261,7839.51,7901.309999999992,2024-09-17,pending,1,Vickie Perkins,morning
262,1041.97,1767.2099999999914,2024-09-18,reconciled,1,Janice Chan,evening
263,4209.19,4214.169999999992,2024-09-19,pending,1,Ryan Robinson,evening
264,786.19,2810.5999999999926,2024-09-20,pending,1,Brandon Ramirez,morning
265,3162.75,4397.589999999993,2024-09-21,reconciled,1,Michael Marshall,evening
266,827.53,4130.359999999993,2024-09-22,pending,1,Megan Crawford,morning
267,918.42,6281.209999999993,2024-09-23,pending,1,Erica Shaw,evening
268,8036.99,9638.179999999991,2024-09-24,pending,1,Janet Kline,morning
269,4115.57,5086.139999999991,2024-09-25,pending,1,James Phillips,morning
270,695.05,2906.429999999992,2024-09-26,reconciled,1,David Morgan,morning
271,5011.02,5227.959999999993,2024-09-27,pending,1,Jessica Ray,morning
272,1646.35,1876.449999999992,2024-09-28,reconciled,1,Aaron Martinez,morning
273,2587.95,2855.319999999992,2024-09-29,pending,1,Erica Brewer,evening
274,1087.95,4516.559999999993,2024-09-30,reconciled,1,Johnny Murray,morning
275,3496.41,5438.139999999993,2024-10-01,reconciled,1,James Glass,evening
276,3466.25,3751.529999999993,2024-10-02,reconciled,1,Margaret Burke,morning
277,306.48,3100.7199999999925,2024-10-03,reconciled,1,Shannon Liu,evening
278,4019.33,5282.4899999999925,2024-10-04,reconciled,1,Kathleen Suarez,morning
279,2862.65,4177.259999999992,2024-10-05,pending,1,Patrick Dickerson,evening
280,1845.43,4526.309999999992,2024-10-06,reconciled,1,John Moore,morning
281,4253.9,6583.399999999992,2024-10-07,reconciled,1,Michelle Stewart,evening
282,4152.02,4504.249999999993,2024-10-08,reconciled,1,Daniel Aguilar,evening
283,60.79,2923.109999999992,2024-10-09,pending,1,Joseph Watson,evening
284,4134.42,5768.459999999992,2024-10-10,reconciled,1,Joseph Wells,evening
285,4426.47,4684.319999999992,2024-10-11,pending,1,Andrew Brown,morning
286,475.97,2210.1499999999924,2024-10-12,reconciled,1,Noah Hughes,evening
287,315.03,4180.689999999992,2024-10-13,pending,1,James Riggs,morning
288,5637.49,6882.589999999993,2024-10-14,reconciled,1,James Ford,morning
289,2622.38,3455.3299999999927,2024-10-15,pending,1,Austin Duncan,evening
290,2729.15,3438.6499999999933,2024-10-16,reconciled,1,Mrs. Anne Bonilla,evening
291,3322.18,4050.8999999999937,2024-10-17,pending,1,Austin Taylor Jr.,evening
292,3759.81,3904.4199999999946,2024-10-18,reconciled,1,Daniel Fields,morning
293,3819.1,4143.889999999995,2024-10-19,reconciled,1,Kathryn Campbell,evening
294,590.35,4009.459999999996,2024-10-20,reconciled,1,Allen Mcdonald,evening
295,777.69,6344.509999999997,2024-10-21,reconciled,1,Miss Melissa Watts,morning
296,3155.66,7806.969999999996,2024-10-22,pending,1,Michael Brown,evening
297,7232.08,7375.7999999999965,2024-10-23,reconciled,1,Crystal Robinson,evening
298,2134.13,2288.4999999999973,2024-10-24,reconciled,1,Martha Long,evening
299,3724.76,3742.6099999999974,2024-10-25,pending,1,Toni Baird,morning
300,3233.08,3292.2799999999984,2024-10-26,reconciled,1,Theresa Fletcher,morning
301,3588.95,4314.769999999999,2024-10-27,reconciled,1,Ms. Briana Alvarez MD,morning
302,331.08,3682.039999999999,2024-10-28,reconciled,1,Sandra Rosales,morning
303,5199.6,5854.759999999998,2024-10-29,reconciled,1,Kenneth Gonzales,morning
304,825.21,4242.609999999998,2024-10-30,pending,1,Shelia Miller,morning
305,4952.01,6626.419999999996,2024-10-31,reconciled,1,Terry Bradley,morning
306,2957.68,3670.9199999999955,2024-11-01,pending,1,Christopher Mcdonald,morning
307,1450.66,2672.969999999995,2024-11-02,reconciled,1,Julia King,morning
308,1502.24,3904.219999999995,2024-11-03,pending,1,Christina Smith,morning
309,681.25,4844.5399999999945,2024-11-04,reconciled,1,Martin Quinn,morning
310,2160.88,6529.979999999995,2024-11-05,reconciled,1,Dalton Wilkinson,evening
311,5850.75,7748.909999999995,2024-11-06,reconciled,1,Christopher Pearson,morning
312,3756.93,4095.199999999996,2024-11-07,pending,1,Bethany Strickland,morning
313,1793.4,3049.549999999997,2024-11-08,pending,1,Debra Garcia,morning
314,883.49,3755.4699999999975,2024-11-09,pending,1,Jeffrey Delgado,morning
315,924.16,5381.769999999999,2024-11-10,pending,1,Kayla Morris,morning
316,196.52,7892.879999999998,2024-11-11,pending,1,Douglas Buck DVM,evening
317,5866.07,11505.499999999998,2024-11-12,pending,1,Nancy Hernandez,evening
318,65.67,8052.8899999999985,2024-11-13,pending,1,Michael Smith,morning
319,8186.44,10106.269999999999,2024-11-14,pending,1,Elizabeth Hoover,evening
320,3334.04,4341.309999999999,2024-11-15,reconciled,1,Cathy Freeman,evening
321,3369.39,4095.539999999998,2024-11-16,reconciled,1,Melissa Moody,evening
322,208.14,4161.559999999998,2024-11-17,pending,1,Marcus Goodwin,evening
323,4966.61,6371.879999999999,2024-11-18,reconciled,1,Cassandra Brooks,morning
324,1637.58,4038.93,2024-11-19,pending,1,Amanda Moore,morning
325,4070.21,4148.539999999999,2024-11-20,reconciled,1,Mr. Benjamin Reyes,evening
326,2017.62,3992.2499999999995,2024-11-21,pending,1,Amy Miller,morning
327,1799.23,4271.259999999998,2024-11-22,reconciled,1,Brandon Butler,evening
328,2379.31,5105.839999999997,2024-11-23,reconciled,1,Mark Valencia DDS,evening
329,2072.73,6656.869999999997,2024-11-24,reconciled,1,Courtney Rodriguez,morning
330,2957.78,7345.3399999999965,2024-11-25,pending,1,Larry Arnold,evening
331,2314.52,8288.789999999995,2024-11-26,pending,1,Stephen Baker,morning
332,3864.36,8389.909999999994,2024-11-27,reconciled,1,Heather Molina,evening
333,3093.71,6417.299999999992,2024-11-28,pending,1,Neil Henderson,morning
334,2330.43,5416.509999999994,2024-11-29,reconciled,1,Belinda Harris,evening
335,3912.16,5786.599999999995,2024-11-30,reconciled,1,Tracy Gomez,evening
336,305.74,4366.2899999999945,2024-12-01,pending,1,Scott Yang,morning
337,3820.86,6454.669999999995,2024-12-02,pending,1,Jason Tyler,evening
338,5213.4,6862.069999999995,2024-12-03,pending,1,Teresa Juarez,evening
339,929.24,5099.659999999996,2024-12-04,reconciled,1,Andrea Reed,evening
340,4158.35,7276.029999999998,2024-12-05,reconciled,1,Tammy Ward,evening
341,3459.37,6050.849999999997,2024-12-06,reconciled,1,Anna Nelson,evening
342,143.35,5082.249999999996,2024-12-07,pending,1,John Mccormick,evening
343,4132.6,7620.359999999996,2024-12-08,reconciled,1,Lisa Estrada,evening
344,4806.09,6853.149999999997,2024-12-09,pending,1,Sandra Evans,evening
345,3723.56,5123.949999999998,2024-12-10,reconciled,1,Kimberly Moran,evening
346,27.7,3872.2499999999973,2024-12-11,reconciled,1,Megan Payne,morning
347,4128.14,6603.8499999999985,2024-12-12,pending,1,Ann Rosario,morning
348,3181.86,4978.029999999999,2024-12-13,reconciled,1,Stacy Lee,evening
349,4315.46,5302.5199999999995,2024-12-14,pending,1,Kelly Gentry,evening
350,2846.67,3592.7499999999995,2024-12-15,pending,1,Haley Brown,evening
351,306.57,2159.2300000000005,2024-12-16,pending,1,Christina Cruz,evening
352,1209.94,4530.6,2024-12-17,reconciled,1,Taylor Bryan,evening
